id,amenity
899314,Luggage dropoff allowed
899314,AC - split type ductless system
899314,Refrigerator
899314,Essentials
899314,Fire extinguisher
899314,Kitchen
899314,City skyline view
899314,Hot water kettle
899314,Iron
899314,Long term stays allowed
899314,Drying rack for clothing
899314,Shared beach access
899314,Free washer – In unit
899314,Wifi
899314,Dishes and silverware
899314,Cooking basics
899314,Clothing storage: wardrobe
899314,Microwave
899314,Beach view
899314,Portable fans
899314,Extra pillows and blankets
899314,Elevator
899314,40 inch HDTV with standard cable
899314,Brastemp stainless steel gas stove
910649,Dishwasher
910649,Room-darkening shades
910649,Ethernet connection
910649,Air conditioning
910649,Stove
910649,Oven
910649,Essentials
910649,Wine glasses
910649,Self check-in
910649,Gym
910649,Beach view
910649,Free street parking
910649,Fire extinguisher
910649,Coffee
910649,Iron
910649,Backyard
910649,Building staff
910649,Body soap
910649,Luggage dropoff allowed
910649,Wifi
910649,Clothing storage: closet
910649,"Exercise equipment: elliptical, free weights, stationary bike, treadmill"
910649,Refrigerator
910649,Lake view
910649,TV with standard cable
910649,Freezer
910649,Shared pool
910649,Sauna
910649,Bed linens
910649,Cooking basics
910649,Ocean view
910649,Hot water
910649,Sea view
910649,Paid parking garage on premises
910649,Kitchen
910649,Private hot tub
910649,Smoking allowed
910649,Pets allowed
910649,Coffee maker
910649,Beach access – Beachfront
910649,Long term stays allowed
910649,Extra pillows and blankets
910649,Microwave
910649,Dining table
910649,Cleaning available during stay
910649,Hair dryer
910649,City skyline view
910649,Drying rack for clothing
910649,Cleaning products
910649,Hangers
910649,Toaster
910649,Waterfront
910649,Free washer – In unit
910649,Dishes and silverware
994419,Oven
994419,Building staff
994419,Canal view
994419,TV with standard cable
994419,Smoking allowed
994419,Bed linens
994419,Dining table
994419,Washer
994419,Heating
994419,Paid parking off premises
994419,Laundromat nearby
994419,Hot water
994419,Hair dryer
994419,Patio or balcony
994419,Hangers
994419,Coffee maker
994419,Wine glasses
994419,Room-darkening shades
994419,Backyard
994419,Blender
994419,Refrigerator
994419,Essentials
994419,Kitchen
994419,Long term stays allowed
994419,Iron
994419,Window AC unit
994419,Drying rack for clothing
994419,Wifi
994419,Dishes and silverware
994419,Cooking basics
994419,Toaster
994419,Clothing storage: wardrobe
994419,Microwave
994419,Extra pillows and blankets
994419,Elevator
994419,Brastemp stainless steel gas stove
994419,Luggage dropoff allowed
994419,Beach access – Beachfront
994419,Self check-in
921000,Building staff
921000,TV with standard cable
921000,Gym
921000,Shampoo
921000,Washer
921000,Hair dryer
921000,Dryer
921000,Hangers
921000,First aid kit
921000,Coffee maker
921000,Essentials
921000,Pets allowed
921000,Fire extinguisher
921000,Kitchen
921000,Iron
921000,Shared pool
921000,Wifi
921000,Dishes and silverware
921000,Shared patio or balcony
921000,Free parking on premises
921000,Elevator
921000,Self check-in
921000,Air conditioning
1033727,Oven
1033727,TV with standard cable
1033727,Smoking allowed
1033727,Clothing storage
1033727,Dining table
1033727,Host greets you
1033727,Washer
1033727,Paid parking off premises
1033727,Hot water
1033727,Hair dryer
1033727,Coffee maker
1033727,Essentials
1033727,Pets allowed
1033727,Fire extinguisher
1033727,Kitchen
1033727,Iron
1033727,Carbon monoxide alarm
1033727,Smoke alarm
1033727,Stove
1033727,Wifi
1033727,Dishes and silverware
1033727,Extra pillows and blankets
1033727,Luggage dropoff allowed
1033727,Beach access – Beachfront
1033727,Air conditioning
923409,Oven
923409,Building staff
923409,Ethernet connection
923409,TV with standard cable
923409,Body soap
923409,Bed linens
923409,Bluetooth sound system
923409,Washer
923409,Hot water
923409,Hair dryer
923409,Hangers
923409,First aid kit
923409,Coffee maker
923409,Room-darkening shades
923409,Refrigerator
923409,Essentials
923409,Ceiling fan
923409,Kitchen
923409,Single level home
923409,Long term stays allowed
923409,Iron
923409,Carbon monoxide alarm
923409,Smoke alarm
923409,Stove
923409,Books and reading material
923409,Wifi
923409,Dishes and silverware
923409,Cooking basics
923409,Free street parking
923409,Clothing storage: wardrobe
923409,Crib
923409,Extra pillows and blankets
923409,Elevator
923409,Luggage dropoff allowed
923409,Self check-in
923409,Air conditioning
931638,Dedicated workspace
931638,Oven
931638,TV
931638,Bed linens
931638,Washer
931638,Hot water
931638,Hair dryer
931638,Coffee maker
931638,Refrigerator
931638,Freezer
931638,Essentials
931638,Kitchen
931638,Iron
931638,Stove
931638,Wifi
931638,Dishes and silverware
931638,Cooking basics
931638,Toaster
931638,Microwave
931638,Elevator
931638,Air conditioning
1303580,Mini fridge
1303580,Dedicated workspace
1303580,Body soap
1303580,Bed linens
1303580,Clothing storage
1303580,Shampoo
1303580,Shower gel
1303580,Gas stove
1303580,Paid parking lot off premises
1303580,Keypad
1303580,Coffee
1303580,Hot water
1303580,Hair dryer
1303580,"Coffee maker: drip coffee maker, Nespresso"
1303580,Hangers
1303580,Room-darkening shades
1303580,Blender
1303580,AC - split type ductless system
1303580,Refrigerator
1303580,Essentials
1303580,Ceiling fan
1303580,Pets allowed
1303580,Kitchen
1303580,Single level home
1303580,Long term stays allowed
1303580,Iron
1303580,Drying rack for clothing
1303580,Free dryer – In unit
1303580,Free washer – In unit
1303580,Wifi
1303580,55 inch HDTV
1303580,Cooking basics
1303580,Dishes and silverware
1303580,Microwave
1303580,Private entrance
1303580,Cleaning products
1303580,Extra pillows and blankets
1303580,Elevator
1303580,Self check-in
1123976,Dishes and silverware
1123976,Essentials
1123976,Microwave
1123976,Building staff
1123976,Hot water
1123976,Hair dryer
1123976,TV with standard cable
1123976,Kitchen
1123976,Hangers
1123976,Coffee maker
1123976,Iron
1123976,Elevator
1123976,Refrigerator
1123976,Self check-in
1123976,Air conditioning
1123976,Wifi
1163118,Pack ’n play/Travel crib
1163118,Building staff
1163118,Shampoo
1163118,Heating
1163118,Outdoor dining area
1163118,Hot water
1163118,Hair dryer
1163118,Patio or balcony
1163118,Hangers
1163118,Coffee maker
1163118,Backyard
1163118,AC - split type ductless system
1163118,Refrigerator
1163118,Essentials
1163118,Pets allowed
1163118,Free dryer
1163118,Fire extinguisher
1163118,Kitchen
1163118,Long term stays allowed
1163118,Iron
1163118,Park view
1163118,Smoke alarm
1163118,Mountain view
1163118,Free washer – In unit
1163118,Wifi
1163118,Dishes and silverware
1163118,Cooking basics
1163118,Crib
1163118,Free parking on premises
1163118,Outdoor furniture
1163118,Elevator
1163118,BBQ grill
1163118,40 inch TV with standard cable
1163118,Beach access – Beachfront
1163118,Self check-in
1163119,Host greets you
1163119,Heating
1163119,Air conditioning
1163119,Backyard
1163119,Kitchen
1163119,Patio or balcony
1163119,Smoking allowed
1163119,Wifi
1163119,Refrigerator
1163119,TV with standard cable
1163119,Dishes and silverware
1163119,Coffee maker
1163119,Beach access – Beachfront
1215717,Washer
1215717,Paid parking lot off premises
1215717,Room-darkening shades
1215717,Granado body soap
1215717,Oven
1215717,Wine glasses
1215717,Iron
1215717,Wifi
1215717,Refrigerator
1215717,TV with standard cable
1215717,Blender
1215717,Bed linens
1215717,Cooking basics
1215717,Dryer
1215717,Baking sheet
1215717,Hot water
1215717,Kitchen
1215717,Coffee maker: drip coffee maker
1215717,AC - split type ductless system
1215717,Microwave
1215717,Dining table
1215717,Hair dryer
1215717,Drying rack for clothing
1215717,Clothing storage
1215717,Hangers
1215717,Elevator
1215717,Toaster
1215717,Dishes and silverware
1215717,Free parking garage on premises
1215717,Other gas stove
1426055,Dedicated workspace
1426055,Oven
1426055,TV with standard cable
1426055,Body soap
1426055,Bed linens
1426055,Rice maker
1426055,Dining table
1426055,Bathtub
1426055,Gas stove
1426055,Bidet
1426055,Washer
1426055,Paid street parking off premises
1426055,Laundromat nearby
1426055,Hot water
1426055,Record player
1426055,Sound system with aux
1426055,Hangers
1426055,Coffee maker
1426055,Wine glasses
1426055,Room-darkening shades
1426055,Blender
1426055,AC - split type ductless system
1426055,Refrigerator
1426055,Freezer
1426055,Essentials
1426055,Ceiling fan
1426055,Fire extinguisher
1426055,Kitchen
1426055,Hot water kettle
1426055,Long term stays allowed
1426055,Iron
1426055,Drying rack for clothing
1426055,Wifi
1426055,Dishes and silverware
1426055,Cooking basics
1426055,Toaster
1426055,Free street parking
1426055,Clothing storage: wardrobe
1426055,Microwave
1426055,Cleaning products
1426055,Extra pillows and blankets
1426055,Beach access – Beachfront
1246502,Dedicated workspace
1246502,Housekeeping - available at extra cost
1246502,Oven
1246502,Ethernet connection
1246502,Bed linens
1246502,Dining table
1246502,Free residential garage on premises – 1 space
1246502,Host greets you
1246502,Hot water
1246502,Hair dryer
1246502,Hangers
1246502,Wine glasses
1246502,Room-darkening shades
1246502,Blender
1246502,AC - split type ductless system
1246502,Refrigerator
1246502,Essentials
1246502,Ceiling fan
1246502,Electrolux gas stove
1246502,Kitchen
1246502,City skyline view
1246502,Long term stays allowed
1246502,Iron
1246502,Window AC unit
1246502,Carbon monoxide alarm
1246502,Park view
1246502,Smoke alarm
1246502,Drying rack for clothing
1246502,Mountain view
1246502,Free dryer – In unit
1246502,Free washer – In unit
1246502,Wifi
1246502,Dishes and silverware
1246502,Cooking basics
1246502,Toaster
1246502,Clothing storage: wardrobe
1246502,Microwave
1246502,Coffee maker: pour-over coffee
1246502,Cleaning products
1246502,Extra pillows and blankets
1246502,Elevator
1246502,Beach access – Beachfront
1246502,"32 inch HDTV with Netflix, premium cable, standard cable"
1292491,Oven
1292491,TV with standard cable
1292491,Bed linens
1292491,Shampoo
1292491,Host greets you
1292491,Washer
1292491,Paid parking off premises
1292491,Hot water
1292491,Hair dryer
1292491,Hangers
1292491,First aid kit
1292491,Coffee maker
1292491,Refrigerator
1292491,Essentials
1292491,Fire extinguisher
1292491,Iron
1292491,Stove
1292491,Pocket wifi
1292491,Breakfast
1292491,Wifi
1292491,Dishes and silverware
1292491,Cooking basics
1292491,Microwave
1292491,Private entrance
1292491,Extra pillows and blankets
1292491,Paid parking on premises
1292491,Luggage dropoff allowed
1292491,Air conditioning
1758915,Mini fridge
1758915,Private patio or balcony
1758915,Stainless steel stove
1758915,Building staff
1758915,TV with standard cable
1758915,Bed linens
1758915,Gym
1758915,Clothing storage
1758915,Dining table
1758915,Brastemp oven
1758915,Coffee
1758915,Hot water
1758915,Hair dryer
1758915,Dryer
1758915,Phebo /dove/ body soap
1758915,Hangers
1758915,Wine glasses
1758915,Room-darkening shades
1758915,Cleaning available during stay
1758915,Blender
1758915,Refrigerator
1758915,Essentials
1758915,Ceiling fan
1758915,Fire extinguisher
1758915,Kitchen
1758915,Hot water kettle
1758915,Long term stays allowed
1758915,Iron
1758915,Shared pool
1758915,Free washer – In unit
1758915,Wifi
1758915,Dishes and silverware
1758915,Cooking basics
1758915,Free street parking
1758915,Panasonic sound system
1758915,Microwave
1758915,Coffee maker: pour-over coffee
1758915,Cleaning products
1758915,Extra pillows and blankets
1758915,Free parking on premises
1758915,Elevator
1758915,Luggage dropoff allowed
1758915,Beach access – Beachfront
1758915,Self check-in
1758915,Air conditioning
1474977,Ethernet connection
1474977,Dedicated workspace
1474977,Air conditioning
1474977,Oven
1474977,Essentials
1474977,Smoke alarm
1474977,39 inch TV
1474977,Wine glasses
1474977,Self check-in
1474977,Private backyard
1474977,Iron
1474977,Building staff
1474977,Luggage dropoff allowed
